,Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,rsi,ma,trend
10,1611801840,31138.29,31151.69,31082.08,31096.36,9.45705196,294271.5886,31116.630189999996,57.66427450779402,31061.534545454542,uptrend
11,1611801900,31098.96,31132.31,31089.69,31089.69,5.25587764,163497.79,31107.60965,56.18578416817073,31067.118181818176,uptrend
12,1611801960,31093.76,31093.76,31003.29,31003.29,6.72063188,208673.3457,31049.66162,41.04069678325862,31065.537272727266,downtrend
13,1611802020,30995.74,31024.19,30964.71,31006.47,6.37368076,197540.3685,30993.13818,41.68354335623398,31059.636363636353,downtrend
14,1611802080,30997.38,31003.76,30965.14,30971.13,4.57328298,141724.1206,30989.5804,36.73746400125335,31050.465454545443,downtrend
15,1611802140,30980.97,31013.62,30965.98,31013.62,5.62470787,174286.1692,30985.81708,45.39348992320424,31044.666363636356,uptrend
16,1611802200,31020.02,31027.71,30975.26,31014.24,1.7100459,53014.13736,31001.58736,45.51435934974414,31047.861818181806,uptrend
17,1611802260,31005.54,31020.44,30982.33,31000.55,1.81868663,56397.5878,31010.06345,43.17000432287045,31048.318181818173,downtrend
18,1611802320,31013.6,31040.24,31012.23,31030.0,1.1590278999999999,35958.531,31024.73288,49.39970701060253,31047.137272727265,downtrend
19,1611802380,31058.68,31058.68,31029.65,31033.12,0.81681578,25359.10231,31046.293339999997,50.04432337813617,31035.91181818181,downtrend
20,1611802440,31067.25,31067.25,30987.77,31010.28,1.54055724,47790.69406,31021.6932,45.345574827394785,31024.431818181813,downtrend
21,1611802500,31003.12,31064.19,31003.12,31019.47,1.05299757,32679.44653,31034.68371,47.547343915673686,31017.44181818182,downtrend
22,1611802560,31051.2,31081.2,31036.77,31079.55,0.93463588,29033.46858,31063.935380000003,59.42174489936439,31016.519999999997,uptrend
23,1611802620,31083.6,31108.0,31077.57,31103.17,2.59910689,80799.6587,31087.47047,63.073409609514044,31025.6,uptrend
24,1611802680,31082.99,31092.67,31059.78,31059.78,0.61115675,18989.1733,31070.87225,53.28580712934993,31030.446363636365,uptrend
25,1611802740,31060.3,31087.88,31030.74,31030.74,1.17334612,36456.48583,31070.53,47.772952405327814,31035.865454545456,uptrend
26,1611802800,31075.29,31191.26,31075.29,31177.93,13.55992873,422714.709,31173.81495,67.00015446593302,31050.80272727273,uptrend
27,1611802860,31156.68,31156.71,30994.48,30994.76,3.93673564,122495.7156,31116.063360000004,44.399113444747776,31049.031818181822,downtrend
28,1611802920,30994.77,31008.74,30972.04,31008.74,9.57045307,296674.2897,30998.980669999997,45.94541950299157,31049.776363636367,downtrend
29,1611802980,31012.49,31182.16,31012.49,31182.16,6.1450311,191296.8027,31130.32296,60.92406694845313,31063.609090909093,uptrend
30,1611803040,31174.6,31238.7,31161.72,31180.84,8.18796523,255648.9181,31222.521210000003,60.78162279501605,31077.038181818185,uptrend
31,1611803100,31180.84,31201.49,31157.66,31187.39,15.75541106,491144.0697,31173.040660000002,61.28074579692956,31093.139090909095,uptrend
32,1611803160,31189.25,31332.1,31179.24,31312.03,26.83114655,839288.0579,31280.365019999997,69.49044834107902,31119.735454545462,uptrend
33,1611803220,31312.03,31332.1,31280.55,31309.19,21.78360482,682170.5261,31315.7777,69.11940994769496,31140.611818181827,uptrend
34,1611803280,31300.0,31303.21,31208.59,31234.61,2.42359425,75814.47212,31281.83363,59.802449726475956,31152.560909090917,uptrend
35,1611803340,31253.64,31300.06,31247.2,31254.71,1.56659464,48972.04185,31260.187280000002,61.362071268818426,31170.281818181826,uptrend
36,1611803400,31240.03,31283.34,31174.54,31201.4,8.69606082,271352.16,31204.031989999996,55.065952528284775,31185.796363636375,uptrend
37,1611803460,31218.84,31234.34,31172.87,31172.87,12.593595,393170.7161,31219.8952,51.899406052522174,31185.336363636376,uptrend
38,1611803520,31186.54,31215.36,31162.05,31176.55,5.85047376,182488.4715,31192.084430000003,52.29258668593545,31201.862727272735,uptrend
39,1611803580,31162.48,31195.8,31131.88,31184.12,9.56213617,298067.0215,31171.59348,53.16755843374932,31217.806363636373,uptrend
40,1611803640,31194.93,31194.93,31153.75,31160.74,12.13068119,378079.7891,31167.23481,50.019426080503074,31215.859090909104,downtrend
41,1611803700,31167.17,31245.41,31167.17,31228.39,13.99500416,436805.355,31211.52019,58.012395446823554,31220.181818181827,uptrend
42,1611803760,31228.39,31318.46,31217.5,31299.69,14.20675568,444299.6818,31273.83139,64.63539776329,31230.39090909092,downtrend
43,1611803820,31292.94,31293.62,31240.33,31293.62,20.13236288,629357.4126,31260.98096,63.68516771997186,31228.717272727285,downtrend
44,1611803880,31264.33,31274.2,31235.23,31244.44,19.13104941,598029.1026,31259.607860000004,56.241718380654106,31222.83090909092,uptrend
45,1611803940,31251.0,31278.11,31233.95,31235.52,3.80659768,118977.5485,31255.614210000003,54.94747049258772,31222.91363636365,downtrend
46,1611804000,31253.33,31294.55,31253.33,31257.42,10.99185106,343846.8413,31281.977839999996,57.6086425709026,31223.16000000001,uptrend
47,1611804060,31252.62,31300.58,31233.36,31273.92,12.80809727,400440.1206,31264.606460000003,59.60605333483753,31229.752727272735,uptrend
48,1611804120,31279.15,31293.85,31271.4,31293.85,16.49666698,516117.9701,31286.196819999997,62.00851869594727,31240.750909090915,uptrend
49,1611804180,31279.9,31330.85,31263.66,31278.34,11.64199258,364541.177,31312.61032,58.975504112461856,31250.004545454554,uptrend
50,1611804240,31278.34,31332.1,31277.1,31286.09,6.89887905,216005.4174,31310.219510000003,60.06012323618599,31259.27454545456,uptrend
51,1611804300,31281.18,31302.06,31216.79,31216.79,10.86646087,339719.7173,31263.14274,47.56568390603036,31264.37000000001,downtrend
52,1611804360,31198.2,31250.76,31198.2,31235.06,9.06053971,282942.7606,31228.025,50.577432132958755,31264.976363636375,downtrend
53,1611804420,31238.18,31271.15,31198.95,31214.04,12.75336404,398468.6012,31244.195639999998,47.117727326230366,31257.190000000006,downtrend
54,1611804480,31199.22,31224.96,31167.71,31167.71,4.85200969,151391.9916,31201.91452,40.357069300197104,31245.743636363648,downtrend
55,1611804540,31185.68,31189.92,31148.27,31148.27,8.99118374,280366.73699999996,31182.405469999998,37.82664194667681,31237.00090909092,downtrend
56,1611804600,31165.9,31191.27,31133.96,31133.96,3.86055843,120330.4117,31169.1725,35.98140058415639,31227.76818181819,downtrend
57,1611804660,31140.73,31150.19,31076.24,31094.65,23.33069452,725952.7790000001,31115.7809,31.318302900270695,31212.970909090924,downtrend
58,1611804720,31095.33,31127.92,31069.18,31091.51,13.12928158,408256.5505,31095.11727,30.96217013129208,31196.388181818198,downtrend
59,1611804780,31095.91,31110.87,31054.12,31054.12,13.51822957,420292.778,31090.815239999996,26.9130558323221,31174.594545454565,downtrend
